Gene ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	5.805374811115113	-3.1082349834324576	0.7937009570769314	-3.9161285566286446	8.99822786113161e-05	0.0005353883002770658
ENSG00000000419	738.7896731231189	0.20671317310729678	0.17285547087886138	1.1958728992278362	0.23174616234778955	0.3334552458998129
ENSG00000000457	753.5770123227705	0.2535935420034901	0.16500669673687904	1.5368681818282341	0.12432559263558268	0.20410362354394818
ENSG00000000460	265.4376072436959	0.06215392596906341	0.19218595587011505	0.32340514002526216	0.7463884373484384	0.8136639295535616
ENSG00000000938	27193.352307100657	2.0111255694466394	0.27990190040438406	7.185108663217705	6.7153755585848e-13	5.1170136508239295e-11
ENSG00000000971	25.5385344538497	-1.1288664549149765	0.5287650354729296	-2.134911310664317	0.03276825525852564	0.06986672637748728
ENSG00000001036	286.66647843814945	-0.21668894015809043	0.32132257638226563	-0.6743657498261297	0.5000788121207057	0.6051139529564673
ENSG00000001084	591.0668171711463	0.004714842825284798	0.36910450201382305	0.012773734266476723	0.9898083118057843	0.9929141066396199
ENSG00000001167	1755.4926304709782	0.348583770557299	0.18548800883779673	1.8792792738538922	0.0602063701897094	0.11421167646162297
ENSG00000001460	111.64113116870597	-1.4620412422560811	0.2563329007137801	-5.703681572614778	1.1724701669551439e-08	2.553512117791908e-07
ENSG00000001461	1249.6803574676123	-1.2972038447273888	0.20791075356107366	-6.239234010309794	4.397187679104885e-10	1.503175596329622e-08
ENSG00000001497	531.8212844065267	-1.0489340807998173	0.17625169698200993	-5.9513417388933405	2.6595311291293917e-09	7.130019623357992e-08
ENSG00000001561	222.34480250371143	-0.8786594002633845	0.38836361454345036	-2.2624658113152862	0.023668638840729415	0.05350502443756949
ENSG00000001629	1181.002450122356	-0.146031624714268	0.19732645461249881	-0.7400509222194187	0.4592690964003995	0.5661413724449991
ENSG00000001630	62.997139129503765	-0.08340286935870947	0.33664696682887846	-0.24774579181372547	0.8043310993270848	0.858759950814635
ENSG00000001631	806.9967328218114	-0.32662556507433815	0.18672449571259725	-1.749237901689524	0.08024990504304497	0.1439278706605393
ENSG00000002016	513.1832716923066	-0.20737740201796562	0.16252420685767976	-1.2759785513032111	0.201963101255746	0.29866602618294175
ENSG00000002079	15.493791556707677	-0.7897400400288119	0.38588750170684266	-2.0465551139533265	0.040701785834631354	0.08333486111061607
ENSG00000002330	526.3551768864414	0.6479412180753028	0.20922273667293614	3.0968967731656516	0.0019555795927769354	0.006955328298049937
ENSG00000002549	1121.0586277109592	1.513322420118118	0.5766603671581677	2.6242871997184447	0.008683053306035813	0.023787641963457
ENSG00000002586	2886.174569046037	0.49019013456565086	0.3918964365130616	1.250815493315447	0.21100180093246357	0.3092228604641066
ENSG00000002587	189.54238650943688	-1.6552487010463932	0.5006321618967251	-3.306317146655577		
ENSG00000002726	272.9439239252325	3.881674931604469	0.6706027755485562	5.788337109743158	7.1086637077768995e-09	1.6540485112127975e-07
ENSG00000002745	70.98771283875269	-1.2826142761689021	0.38626689515999335	-3.3205389647425982	0.0008984381676502753	0.003670982312519463
ENSG00000002822	461.35278785728786	-1.0874443316442597	0.14388483643121308	-7.5577410282850295	4.1012957042780196e-14	4.29431472588495e-12
ENSG00000002834	14789.219911466727	0.8025796899919987	0.20502057839177198	3.914629918067816	9.054297543043503e-05	0.0005378241928372028
ENSG00000002919	1986.5161007997235	0.8429970368119039	0.19085640347143454	4.4169177532367945	1.0011830340722337e-05	8.34672247726256e-05
ENSG00000002933	284.590132898332	-0.1122866243785263	0.7852244692537935	-0.14299939542795115	0.8862906586648058	0.9187821533692068
ENSG00000003056	1370.855802376915	-0.2666913945197122	0.2403870250554491	-1.109425080069091	0.2672468479213943	0.37212750431758923
ENSG00000003096	11.245364322133653	-0.6964048183247215	0.5408025438236184	-1.2877247458951533	0.19784179632583854	0.2938920796058118
ENSG00000003137	4.523205176807734	4.322674663774875	2.5649575826855844	1.6852811496589781	0.09193434084285616	0.16021099690876225
ENSG00000003147	79.13321834668331	0.8786606482150332	0.3442264651980939	2.5525656422419045	0.010693275758712357	0.02816613913892165
ENSG00000003249	71.28991525933827	-1.3349744095904337	0.27391670053178285	-4.873651029669639	1.0955444205086949e-06	1.2637585984804845e-05
ENSG00000003393	660.3347598128505	-0.07667695115743141	0.21169843410522443	-0.3621989528714191	0.7172033619998726	0.7908588675065291
ENSG00000003400	2767.777338671863	0.881415791447694	0.16966678116418285	5.19498151258476	2.047401855208397e-07	3.0098917995125504e-06
ENSG00000003402	50727.73650555184	1.603894689170249	0.3267908618997723	4.908015725550393	9.200247925540161e-07	1.0950342781328524e-05
ENSG00000003436	121.74024714574193	1.9228602938920116	0.5539903821199053	3.470927214537506	0.0005186645668022427	0.0023244431483777253
ENSG00000003509	272.3308278783817	0.1857937427670086	0.2511876207194296	0.7396612230924215	0.4595055826612333	0.566316329672125
ENSG00000003756	5299.963102712414	0.4651640605148305	0.17843001192532268	2.6069832955540746	0.009134381636208682	0.024774766097084067
ENSG00000003987	121.16592629232309	-0.13235804358105857	0.3678544770454666	-0.35981088131407796	0.7189885653423314	0.7922144051996701
ENSG00000004059	2031.4121857054847	0.6145101499202795	0.21672422775121736	2.8354474084258343	0.004576154883247547	0.014045048081759869
ENSG00000004139	419.28800886957663	-1.3557227030145318	0.1746619623615029	-7.76198025422704	8.361342624176168e-15	1.0700374624939295e-12
ENSG00000004142	850.0450877933602	0.2859571503870889	0.14691072331858795	1.946468875297601	0.0515984431731639	0.1010375321561215
